,ndc9,filename,is_ref,is_front,ndc,splshape,splshape_text,splimprint,splcolor_text,rxstring,filepath
16,3782076,00378-2076-01_PART_1_OF_1_CHAL10_SF_5A23AD6D.jpg,TRUE,TRUE,378207601,C48348,ROUND,L;26;M,GREEN,lisinopril 40 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003782076/00378-2076-01_PART_1_OF_1_CHAL10_SF_5A23AD6D.jpg
17,3782076,00378-2076-01_PART_1_OF_1_CHAL10_SB_5A23AD6D.jpg,TRUE,FALSE,378207601,C48348,ROUND,L;26;M,GREEN,lisinopril 40 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003782076/00378-2076-01_PART_1_OF_1_CHAL10_SB_5A23AD6D.jpg
18,937540,00093-7540-06_PART_1_OF_1_CHAL10_SB_6D2936E9.jpg,TRUE,FALSE,93754006,C48345,OVAL,93;7540,YELLOW,topiramate 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937540/00093-7540-06_PART_1_OF_1_CHAL10_SB_6D2936E9.jpg
19,937540,00093-7540-06_PART_1_OF_1_CHAL10_SF_6D2936E9.jpg,TRUE,TRUE,93754006,C48345,OVAL,93;7540,YELLOW,topiramate 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937540/00093-7540-06_PART_1_OF_1_CHAL10_SF_6D2936E9.jpg
20,555130073,55513-0073-30_PART_1_OF_1_CHAL10_SB_1B1C8DE4.jpg,TRUE,FALSE,55513007330,C48345,OVAL,AMG;30,GREEN,cinacalcet 30 MG Oral Tablet [Sensipar],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/555130073/55513-0073-30_PART_1_OF_1_CHAL10_SB_1B1C8DE4.jpg
21,555130073,55513-0073-30_PART_1_OF_1_CHAL10_SF_1B1C8DE4.jpg,TRUE,TRUE,55513007330,C48345,OVAL,AMG;30,GREEN,cinacalcet 30 MG Oral Tablet [Sensipar],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/555130073/55513-0073-30_PART_1_OF_1_CHAL10_SF_1B1C8DE4.jpg
22,3787002,00378-7002-93_PART_1_OF_1_CHAL10_SB_42242111.jpg,TRUE,FALSE,378700293,C48345,OVAL,M;N;2,BLUE,paroxetine hydrochloride 20 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003787002/00378-7002-93_PART_1_OF_1_CHAL10_SB_42242111.jpg
23,3787002,00378-7002-93_PART_1_OF_1_CHAL10_SF_42242111.jpg,TRUE,TRUE,378700293,C48345,OVAL,M;N;2,BLUE,paroxetine hydrochloride 20 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003787002/00378-7002-93_PART_1_OF_1_CHAL10_SF_42242111.jpg
24,3781800,00378-1800-01_PART_1_OF_1_CHAL10_SF_6823B45D.jpg,TRUE,TRUE,378180001,C48345,OVAL,M;L;4,ORANGE,levothyroxine sodium 0.025 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003781800/00378-1800-01_PART_1_OF_1_CHAL10_SF_6823B45D.jpg
25,3781800,00378-1800-01_PART_1_OF_1_CHAL10_SB_6823B45D.jpg,TRUE,FALSE,378180001,C48345,OVAL,M;L;4,ORANGE,levothyroxine sodium 0.025 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003781800/00378-1800-01_PART_1_OF_1_CHAL10_SB_6823B45D.jpg
26,935712,00093-5712-01_PART_1_OF_1_CHAL10_SB_242B924C.jpg,TRUE,FALSE,93571201,C48345,OVAL,5712;5;500,YELLOW,Glyburide 5 MG / Metformin hydrochloride 500 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000935712/00093-5712-01_PART_1_OF_1_CHAL10_SB_242B924C.jpg
27,935712,00093-5712-01_PART_1_OF_1_CHAL10_SF_242B924C.jpg,TRUE,TRUE,93571201,C48345,OVAL,5712;5;500,YELLOW,Glyburide 5 MG / Metformin hydrochloride 500 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000935712/00093-5712-01_PART_1_OF_1_CHAL10_SF_242B924C.jpg
28,2282717,00228-2717-11_PART_1_OF_1_CHAL10_SF_56232B19.jpg,TRUE,TRUE,228271711,C48348,ROUND,R;717,YELLOW,24 HR Diclofenac Sodium 100 MG Extended Release Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/002282717/00228-2717-11_PART_1_OF_1_CHAL10_SF_56232B19.jpg
29,2282717,00228-2717-11_PART_1_OF_1_CHAL10_SB_56232B19.jpg,TRUE,FALSE,228271711,C48348,ROUND,R;717,YELLOW,24 HR Diclofenac Sodium 100 MG Extended Release Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/002282717/00228-2717-11_PART_1_OF_1_CHAL10_SB_56232B19.jpg
30,162520590,16252-0590-99_PART_1_OF_1_CHAL10_SF_2B2015D0.jpg,TRUE,TRUE,16252059099,C48348,ROUND,SA;25,WHITE,Sumatriptan 25 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/162520590/16252-0590-99_PART_1_OF_1_CHAL10_SF_2B2015D0.jpg
31,162520590,16252-0590-99_PART_1_OF_1_CHAL10_SB_2B2015D0.jpg,TRUE,FALSE,16252059099,C48348,ROUND,SA;25,WHITE,Sumatriptan 25 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/162520590/16252-0590-99_PART_1_OF_1_CHAL10_SB_2B2015D0.jpg
32,647640805,64764-0805-30_PART_1_OF_1_CHAL10_SB_191C8C94.jpg,TRUE,FALSE,64764080530,C48348,ROUND,TAK;RAM;8,ORANGE,ramelteon 8 MG Oral Tablet [Rozerem],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/647640805/64764-0805-30_PART_1_OF_1_CHAL10_SB_191C8C94.jpg
33,647640805,64764-0805-30_PART_1_OF_1_CHAL10_SF_191C8C94.jpg,TRUE,TRUE,64764080530,C48348,ROUND,TAK;RAM;8,ORANGE,ramelteon 8 MG Oral Tablet [Rozerem],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/647640805/64764-0805-30_PART_1_OF_1_CHAL10_SF_191C8C94.jpg
34,1724358,00172-4358-46_PART_1_OF_1_CHAL10_SB_172D8B9C.jpg,TRUE,FALSE,172435846,C48345,OVAL,4358;300,BROWN,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/001724358/00172-4358-46_PART_1_OF_1_CHAL10_SB_172D8B9C.jpg
35,1724358,00172-4358-46_PART_1_OF_1_CHAL10_SF_172D8B9C.jpg,TRUE,TRUE,172435846,C48345,OVAL,4358;300,BROWN,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/001724358/00172-4358-46_PART_1_OF_1_CHAL10_SF_172D8B9C.jpg
36,937248,00093-7248-06_PART_1_OF_1_CHAL10_SB_7829BC3D.jpg,TRUE,FALSE,93724806,C48338,DIAMOND,9;3;7248,BLUE,lamotrigine 200 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937248/00093-7248-06_PART_1_OF_1_CHAL10_SB_7829BC3D.jpg
37,937248,00093-7248-06_PART_1_OF_1_CHAL10_SF_7829BC3D.jpg,TRUE,TRUE,93724806,C48338,DIAMOND,9;3;7248,BLUE,lamotrigine 200 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937248/00093-7248-06_PART_1_OF_1_CHAL10_SF_7829BC3D.jpg
38,780359,00078-0359-34_PART_1_OF_1_CHAL10_SF_EC15765B.jpg,TRUE,TRUE,78035934,C48345,OVAL,NVR;DX,GRAY;ORANGE,valsartan 160 MG Oral Tablet [Diovan],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000780359/00078-0359-34_PART_1_OF_1_CHAL10_SF_EC15765B.jpg
39,780359,00078-0359-34_PART_1_OF_1_CHAL10_SB_EC15765B.jpg,TRUE,FALSE,78035934,C48345,OVAL,NVR;DX,GRAY;ORANGE,valsartan 160 MG Oral Tablet [Diovan],/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000780359/00078-0359-34_PART_1_OF_1_CHAL10_SB_EC15765B.jpg
40,416160636,41616-0636-83_PART_1_OF_1_CHAL10_SF_1A240D60.jpg,TRUE,TRUE,41616063683,C48348,ROUND,10,WHITE,Alendronic acid 10 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/416160636/41616-0636-83_PART_1_OF_1_CHAL10_SF_1A240D60.jpg
41,416160636,41616-0636-83_PART_1_OF_1_CHAL10_SB_1A240D60.jpg,TRUE,FALSE,41616063683,C48348,ROUND,10,WHITE,Alendronic acid 10 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/416160636/41616-0636-83_PART_1_OF_1_CHAL10_SB_1A240D60.jpg
42,935289,00093-5289-56_PART_1_OF_1_CHAL10_SB_9927CCDE.jpg,TRUE,FALSE,93528956,C48348,ROUND,TEVA;5289,WHITE,voriconazole 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000935289/00093-5289-56_PART_1_OF_1_CHAL10_SB_9927CCDE.jpg
43,935289,00093-5289-56_PART_1_OF_1_CHAL10_SF_9927CCDE.jpg,TRUE,TRUE,93528956,C48348,ROUND,TEVA;5289,WHITE,voriconazole 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000935289/00093-5289-56_PART_1_OF_1_CHAL10_SF_9927CCDE.jpg
44,931077,00093-1077-01_PART_1_OF_1_CHAL10_SB_60293059.jpg,TRUE,FALSE,93107701,C48348,ROUND,93;1077,ORANGE,cefprozil 250 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000931077/00093-1077-01_PART_1_OF_1_CHAL10_SB_60293059.jpg
45,931077,00093-1077-01_PART_1_OF_1_CHAL10_SF_60293059.jpg,TRUE,TRUE,93107701,C48348,ROUND,93;1077,ORANGE,cefprozil 250 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000931077/00093-1077-01_PART_1_OF_1_CHAL10_SF_60293059.jpg
46,938035,00093-8035-01_PART_1_OF_1_CHAL10_SB_DC266E63.jpg,TRUE,FALSE,93803501,C48345,OVAL,3;035;N,BLUE,glyburide 3 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000938035/00093-8035-01_PART_1_OF_1_CHAL10_SB_DC266E63.jpg
47,938035,00093-8035-01_PART_1_OF_1_CHAL10_SF_DC266E63.jpg,TRUE,TRUE,93803501,C48345,OVAL,3;035;N,BLUE,glyburide 3 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000938035/00093-8035-01_PART_1_OF_1_CHAL10_SF_DC266E63.jpg
48,5550485,00555-0485-27_PART_1_OF_1_CHAL10_SF_0D2B86DC.jpg,TRUE,TRUE,555048527,C48348,ROUND,b;485,GREEN,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/005550485/00555-0485-27_PART_1_OF_1_CHAL10_SF_0D2B86DC.jpg
49,5550485,00555-0485-27_PART_1_OF_1_CHAL10_SB_0D2B86DC.jpg,TRUE,FALSE,555048527,C48348,ROUND,b;485,GREEN,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/005550485/00555-0485-27_PART_1_OF_1_CHAL10_SB_0D2B86DC.jpg
50,937437,00093-7437-01_PART_1_OF_1_CHAL10_SF_80304022.jpg,TRUE,TRUE,93743701,C48336,CAPSULE,93;7437;93;7437,PINK,Ramipril 5 MG Oral Capsule,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937437/00093-7437-01_PART_1_OF_1_CHAL10_SF_80304022.jpg
51,937437,00093-7437-01_PART_1_OF_1_CHAL10_SB_80304022.jpg,TRUE,FALSE,93743701,C48336,CAPSULE,93;7437;93;7437,PINK,Ramipril 5 MG Oral Capsule,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937437/00093-7437-01_PART_1_OF_1_CHAL10_SB_80304022.jpg
52,930537,00093-0537-01_PART_1_OF_1_CHAL10_SF_942B4A7A.jpg,TRUE,TRUE,93053701,C48345,OVAL,93;537,WHITE,Naproxen sodium 550 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000930537/00093-0537-01_PART_1_OF_1_CHAL10_SF_942B4A7A.jpg
53,930537,00093-0537-01_PART_1_OF_1_CHAL10_SB_942B4A7A.jpg,TRUE,FALSE,93053701,C48345,OVAL,93;537,WHITE,Naproxen sodium 550 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000930537/00093-0537-01_PART_1_OF_1_CHAL10_SB_942B4A7A.jpg
54,534890510,53489-0510-01_PART_1_OF_1_CHAL10_SB_14230A48.jpg,TRUE,FALSE,53489051001,C48348,ROUND,MP;118,WHITE,trazodone hydrochloride 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/534890510/53489-0510-01_PART_1_OF_1_CHAL10_SB_14230A48.jpg
55,534890510,53489-0510-01_PART_1_OF_1_CHAL10_SF_14230A48.jpg,TRUE,TRUE,53489051001,C48348,ROUND,MP;118,WHITE,trazodone hydrochloride 50 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/534890510/53489-0510-01_PART_1_OF_1_CHAL10_SF_14230A48.jpg
56,3781807,00378-1807-01_PART_1_OF_1_CHAL10_SB_1A238D5C.jpg,TRUE,FALSE,378180701,C48345,OVAL,M;L;7,GREEN,levothyroxine sodium 0.088 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003781807/00378-1807-01_PART_1_OF_1_CHAL10_SB_1A238D5C.jpg
57,3781807,00378-1807-01_PART_1_OF_1_CHAL10_SF_1A238D5C.jpg,TRUE,TRUE,378180701,C48345,OVAL,M;L;7,GREEN,levothyroxine sodium 0.088 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/003781807/00378-1807-01_PART_1_OF_1_CHAL10_SF_1A238D5C.jpg
58,649800112,64980-0112-01_PART_1_OF_1_CHAL10_SB_DC236E0B.jpg,TRUE,FALSE,64980011201,C48345,OVAL,cor;144,WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/649800112/64980-0112-01_PART_1_OF_1_CHAL10_SB_DC236E0B.jpg
59,649800112,64980-0112-01_PART_1_OF_1_CHAL10_SF_DC236E0B.jpg,TRUE,TRUE,64980011201,C48345,OVAL,cor;144,WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/649800112/64980-0112-01_PART_1_OF_1_CHAL10_SF_DC236E0B.jpg
60,937180,00093-7180-01_PART_1_OF_1_CHAL10_SF_482BA47D.jpg,TRUE,TRUE,93718001,C48345,OVAL,93;7180,YELLOW,Ofloxacin 200 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937180/00093-7180-01_PART_1_OF_1_CHAL10_SF_482BA47D.jpg
61,937180,00093-7180-01_PART_1_OF_1_CHAL10_SB_482BA47D.jpg,TRUE,FALSE,93718001,C48345,OVAL,93;7180,YELLOW,Ofloxacin 200 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000937180/00093-7180-01_PART_1_OF_1_CHAL10_SB_482BA47D.jpg
62,684620163,68462-0163-01_PART_1_OF_1_CHAL10_SF_DC216E7B.jpg,TRUE,TRUE,68462016301,C48348,ROUND,G;41,WHITE,carvedilol 6.25 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/684620163/68462-0163-01_PART_1_OF_1_CHAL10_SF_DC216E7B.jpg
63,684620163,68462-0163-01_PART_1_OF_1_CHAL10_SB_DC216E7B.jpg,TRUE,FALSE,68462016301,C48348,ROUND,G;41,WHITE,carvedilol 6.25 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/684620163/68462-0163-01_PART_1_OF_1_CHAL10_SB_DC216E7B.jpg
64,534890531,53489-0531-01_PART_1_OF_1_CHAL10_SF_CD22E6D7.jpg,TRUE,TRUE,53489053101,C48348,ROUND,MP;153,WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/534890531/53489-0531-01_PART_1_OF_1_CHAL10_SF_CD22E6D7.jpg
65,534890531,53489-0531-01_PART_1_OF_1_CHAL10_SB_CD22E6D7.jpg,TRUE,FALSE,53489053101,C48348,ROUND,MP;153,WHITE,,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/534890531/53489-0531-01_PART_1_OF_1_CHAL10_SB_CD22E6D7.jpg
66,658620053,65862-0053-30_PART_1_OF_1_CHAL10_SF_C621630B.jpg,TRUE,TRUE,65862005330,C48348,ROUND,A;03,PINK,simvastatin 40 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/658620053/65862-0053-30_PART_1_OF_1_CHAL10_SF_C621630B.jpg
67,658620053,65862-0053-30_PART_1_OF_1_CHAL10_SB_C621630B.jpg,TRUE,FALSE,65862005330,C48348,ROUND,A;03,PINK,simvastatin 40 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/658620053/65862-0053-30_PART_1_OF_1_CHAL10_SB_C621630B.jpg
68,684620360,68462-0360-01_PART_1_OF_1_CHAL10_SB_06230358.jpg,TRUE,FALSE,68462036001,C48348,ROUND,IG;275,WHITE,Hydroxyzine Hydrochloride 10 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/684620360/68462-0360-01_PART_1_OF_1_CHAL10_SB_06230358.jpg
69,684620360,68462-0360-01_PART_1_OF_1_CHAL10_SF_06230358.jpg,TRUE,TRUE,68462036001,C48348,ROUND,IG;275,WHITE,Hydroxyzine Hydrochloride 10 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/684620360/68462-0360-01_PART_1_OF_1_CHAL10_SF_06230358.jpg
70,930311,00093-0311-01_PART_1_OF_1_CHAL10_SB_26211358.jpg,TRUE,FALSE,93031101,C48336,CAPSULE,TEVA;0311,BROWN,loperamide hydrochloride 2 MG Oral Capsule,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000930311/00093-0311-01_PART_1_OF_1_CHAL10_SB_26211358.jpg
71,930311,00093-0311-01_PART_1_OF_1_CHAL10_SF_26211358.jpg,TRUE,TRUE,93031101,C48336,CAPSULE,TEVA;0311,BROWN,loperamide hydrochloride 2 MG Oral Capsule,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000930311/00093-0311-01_PART_1_OF_1_CHAL10_SF_26211358.jpg
72,2282127,00228-2127-10_PART_1_OF_1_CHAL10_SF_5321A9ED.jpg,TRUE,TRUE,228212710,C48348,ROUND,R127,ORANGE,clonidine hydrochloride 0.1 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/002282127/00228-2127-10_PART_1_OF_1_CHAL10_SF_5321A9ED.jpg
73,2282127,00228-2127-10_PART_1_OF_1_CHAL10_SB_5321A9ED.jpg,TRUE,FALSE,228212710,C48348,ROUND,R127,ORANGE,clonidine hydrochloride 0.1 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/002282127/00228-2127-10_PART_1_OF_1_CHAL10_SB_5321A9ED.jpg
74,932932,00093-2932-01_PART_1_OF_1_CHAL10_SB_DA296D4B.jpg,TRUE,FALSE,93293201,C48348,ROUND,N77,WHITE,methyldopa 500 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000932932/00093-2932-01_PART_1_OF_1_CHAL10_SB_DA296D4B.jpg
75,932932,00093-2932-01_PART_1_OF_1_CHAL10_SF_DA296D4B.jpg,TRUE,TRUE,93293201,C48348,ROUND,N77,WHITE,methyldopa 500 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000932932/00093-2932-01_PART_1_OF_1_CHAL10_SF_DA296D4B.jpg
76,544728,00054-4728-25_PART_1_OF_1_CHAL10_SF_8723C3EE.jpg,TRUE,TRUE,54472825,C48348,ROUND,54;612,WHITE,prednisone 5 MG Oral Tablet,/content/drive/MyDrive/uploaded_datasets/pill-recognition/combined_dataset/split_dataset/000544728/00054-4728-25_PART_1_OF_1_CHAL10_SF_8723C3EE.jpg
